연도,리그,지역,게임횟수,홈게임횟수,승리횟수,패배횟수,득점횟수,타석횟수,안타횟수,2루타횟수,3루타횟수,홈런횟수,타자_볼넷횟수,타자_삼진횟수,도루성공횟수,도루실패횟수,총_실점수,자책점수,평균자책점수,완투_횟수,완봉_횟수,세이브_횟수,소화한 아웃 수,피안타_횟수,피홈런_횟수,볼넷허용_횟수,투수_삼진횟수,실책횟수,병살횟수,수비율,승률,포스트시즌_진출여부,도루시도횟수,도루실패율
1903,AL,X,98,49,63,32,495,3443,935,155,79,33,183,392,98,83,352,250,2.57,86,14,2,2635,799,16,188,405,164,60,0.95,0.6594202898550725,1,182,0.4594137744291593
1903,NL,X,97,51,49,46,466,3173,840,123,39,10,365,367,191,162,477,326,3.44,82,7,2,2564,893,12,263,306,198,68,0.95,0.5147058823529411,0,353,0.4594137744291593
1903,NL,X,98,47,40,56,404,3277,801,123,32,17,278,367,111,94,489,319,3.34,87,5,0,2578,916,21,322,361,245,62,0.93,0.42028985507246375,0,205,0.4594137744291593
1903,AL,X,96,49,42,53,361,3269,806,123,34,9,227,375,125,106,429,289,3.02,79,6,2,2593,863,16,200,273,207,59,0.94,0.43795620437956206,0,232,0.4594137744291593
1903,NL,X,97,51,57,39,486,3313,909,133,43,6,295,367,181,154,419,267,2.77,81,4,4,2604,827,9,247,315,219,54,0.94,0.5942028985507246,0,335,0.4594137744291593
1903,NL,X,98,53,51,45,535,3399,979,159,64,19,282,367,100,85,459,294,3.07,88,7,0,2583,893,9,264,336,218,58,0.94,0.5323741007194245,0,186,0.4594137744291593
1903,AL,X,98,51,53,44,447,3341,885,161,66,21,181,416,122,103,405,263,2.73,87,14,0,2610,812,11,189,364,225,69,0.94,0.55,0,226,0.4594137744291593
1903,AL,X,95,45,45,49,396,3207,860,113,63,8,204,368,89,75,377,255,2.75,86,10,1,2511,818,13,235,387,196,57,0.95,0.47794117647058826,0,165,0.4594137744291593
1903,NL,X,99,49,58,38,510,3318,902,126,34,14,265,367,184,156,396,289,2.95,80,5,5,2650,879,14,259,439,200,60,0.95,0.60431654676259,0,341,0.4594137744291593
1903,AL,X,95,46,50,43,405,3195,795,135,43,12,232,325,112,94,401,287,3.08,77,4,1,2522,819,13,171,324,184,60,0.95,0.5373134328358209,0,206,0.4594137744291593
1903,AL,X,95,46,52,42,417,3271,865,158,47,22,187,359,109,93,363,280,2.98,78,7,0,2534,786,14,220,509,151,46,0.96,0.5555555555555556,0,203,0.4594137744291593
1903,NL,X,97,42,34,60,431,3346,898,130,43,8,236,367,84,70,516,373,3.96,88,3,2,2545,942,14,297,266,209,53,0.94,0.362962962962963,0,154,0.4594137744291593
1903,NL,X,98,49,63,34,555,3491,1000,145,77,23,254,367,120,102,429,282,2.91,81,11,3,2627,850,6,268,317,202,70,0.95,0.65,1,222,0.4594137744291593
1903,AL,X,97,49,45,51,350,3247,793,116,47,8,189,377,70,59,367,263,2.77,86,8,2,2566,854,18,165,357,187,65,0.95,0.4676258992805755,0,130,0.4594137744291593
1903,NL,X,97,48,30,65,353,3282,823,96,45,5,193,367,119,101,556,345,3.67,77,2,1,2545,947,17,301,293,224,77,0.94,0.31386861313868614,0,221,0.4594137744291593
1903,AL,X,98,49,30,65,305,3229,746,120,50,11,179,324,91,77,483,363,3.82,85,4,2,2568,933,26,214,316,183,60,0.95,0.31386861313868614,0,169,0.4594137744291593
1905,AL,X,107,53,54,51,405,3534,825,115,48,20,340,394,91,77,394,299,2.84,86,9,0,2847,838,23,204,456,203,52,0.95,0.5131578947368421,0,169,0.4594137744291593
1905,NL,X,108,53,33,72,354,3570,878,107,42,20,228,394,130,110,564,394,3.76,87,4,2,2828,991,16,333,389,285,70,0.93,0.3157894736842105,0,240,0.4594137744291593
1905,NL,X,109,53,35,72,327,3632,851,103,36,11,211,394,92,78,513,378,3.52,97,9,0,2904,972,25,303,373,217,62,0.95,0.33116883116883117,0,170,0.4594137744291593
1905,AL,X,110,57,64,42,428,3579,849,140,38,7,307,394,135,114,315,221,1.99,91,10,0,2996,814,7,230,429,151,44,0.96,0.6052631578947368,0,250,0.4594137744291593
1905,NL,X,108,56,64,42,466,3575,874,109,57,8,313,394,186,158,309,223,2.04,93,16,1,2954,794,9,269,438,172,69,0.96,0.6013071895424836,0,345,0.4594137744291593
1905,NL,X,108,55,55,51,514,3643,980,112,70,18,303,394,126,107,488,319,3.01,83,7,1,2866,986,15,307,382,217,85,0.95,0.5163398692810458,0,233,0.4594137744291593
1905,AL,X,108,53,53,54,396,3616,922,147,50,12,200,394,131,111,410,302,2.85,98,11,0,2862,875,16,233,388,163,58,0.96,0.4935064935064935,0,242,0.4594137744291593
1905,AL,X,107,53,55,51,358,3479,846,133,37,9,262,394,90,76,421,296,2.83,86,11,0,2830,858,7,331,404,184,56,0.95,0.5163398692810458,0,166,0.4594137744291593
1905,NL,X,108,53,73,33,546,3565,974,133,61,27,361,394,203,172,353,254,2.39,81,12,10,2877,812,17,254,532,177,65,0.96,0.6862745098039216,1,376,0.4594137744291593
1905,AL,X,106,52,49,54,410,3469,859,114,42,16,251,394,140,118,435,308,2.93,61,11,2,2841,864,18,277,449,205,61,0.95,0.47651006711409394,0,258,0.4594137744291593
1905,AL,X,106,51,64,39,436,3602,916,179,35,16,263,394,133,112,344,235,2.19,81,13,0,2904,795,14,286,626,185,66,0.95,0.6216216216216216,1,245,0.4594137744291593
1905,NL,X,108,53,58,48,495,3670,953,130,57,11,284,394,125,106,421,305,2.81,83,8,3,2935,912,14,287,361,192,69,0.95,0.5460526315789473,0,232,0.4594137744291593
1905,NL,X,108,54,67,39,484,3649,969,133,63,15,267,394,141,119,399,307,2.86,79,8,4,2902,889,8,272,358,178,78,0.96,0.6274509803921569,0,261,0.4594137744291593
1905,AL,X,109,55,37,69,357,3642,843,107,34,11,253,394,91,77,425,294,2.74,93,7,1,2906,871,13,272,443,198,54,0.95,0.35294117647058826,0,168,0.4594137744291593
1905,NL,X,107,53,40,67,374,3546,877,98,59,14,273,394,113,95,513,375,3.59,94,7,1,2828,1001,19,256,287,191,58,0.95,0.37662337662337664,0,209,0.4594137744291593
1905,AL,X,107,53,44,60,391,3510,784,135,47,15,208,394,118,100,436,303,2.87,82,8,0,2860,875,8,269,377,223,53,0.95,0.423841059602649,0,218,0.4594137744291593
1906,AL,X,108,53,34,73,324,3617,856,112,52,9,208,394,69,58,494,366,3.41,86,4,4,2902,951,25,199,384,233,58,0.94,0.3181818181818182,0,128,0.4594137744291593
1906,NL,X,107,53,46,60,347,3427,809,98,47,17,271,394,122,103,437,328,3.13,83,15,7,2830,878,10,317,333,198,51,0.95,0.4342105263157895,0,226,0.4594137744291593
1906,NL,X,106,53,34,71,285,3447,780,95,30,11,249,394,65,55,454,325,3.14,95,7,0,2801,903,16,305,393,235,71,0.94,0.32450331125827814,0,120,0.4594137744291593
1906,AL,X,107,55,65,40,399,3447,793,106,36,4,317,394,149,126,322,227,2.13,81,22,2,2887,848,7,178,380,170,56,0.96,0.6158940397350994,1,276,0.4594137744291593
1906,NL,X,108,55,81,25,493,3512,921,126,49,14,313,394,198,168,266,189,1.75,87,21,7,2914,712,8,312,491,133,70,0.97,0.7631578947368421,1,366,0.4594137744291593
1906,NL,X,108,54,44,60,373,3517,838,98,49,11,276,394,118,100,407,286,2.69,88,8,3,2874,873,9,329,396,182,67,0.95,0.423841059602649,0,219,0.4594137744291593
1906,AL,X,109,55,62,44,464,3798,1061,168,51,8,230,394,142,120,337,229,2.09,93,18,2,2965,837,11,255,371,151,77,0.96,0.5816993464052288,0,262,0.4594137744291593
1906,AL,X,105,54,49,54,362,3451,836,107,44,7,233,394,144,122,419,317,3.06,89,4,2,2801,978,9,272,328,181,60,0.95,0.47651006711409394,0,266,0.4594137744291593
1906,NL,X,107,52,67,39,437,3337,851,113,37,10,394,394,201,170,357,258,2.49,73,13,12,2801,844,9,275,447,159,58,0.96,0.631578947368421,0,372,0.4594137744291593
1906,AL,X,108,53,62,42,450,3566,947,116,53,11,231,394,134,114,380,293,2.78,69,12,3,2849,865,14,245,423,190,48,0.95,0.5960264900662252,0,248,0.4594137744291593
1906,AL,X,104,51,54,46,392,3418,844,149,34,22,269,394,115,98,380,267,2.6,74,13,2,2776,794,6,297,524,186,60,0.95,0.5379310344827586,0,213,0.4594137744291593
1906,NL,X,107,53,49,57,369,3437,828,137,32,8,302,394,125,106,394,271,2.58,75,14,3,2843,840,12,305,350,189,58,0.95,0.46405228758169936,0,232,0.4594137744291593
1906,NL,X,107,53,65,42,436,3521,919,114,46,8,296,394,113,95,329,233,2.21,81,18,1,2851,863,9,216,372,154,76,0.96,0.6078431372549019,0,209,0.4594137744291593
1906,AL,X,107,53,53,51,390,3521,870,101,42,14,256,394,154,130,348,235,2.23,93,11,3,2849,792,9,219,390,202,56,0.95,0.5100671140939598,0,285,0.4594137744291593
